time,tls,cur_phase,main_green,q_main,q_side,rem_before,rem_after,extended
0.5,J1,0,0,1.0,1.0,41.5,41.5,0
0.5,J2,0,0,0.0,0.0,41.5,41.5,0
0.5,J3,0,0,0.0,0.0,41.5,41.5,0
1.0,J1,0,0,0.0,0.0,41.0,41.0,0
1.0,J2,0,0,0.0,0.0,41.0,41.0,0
1.0,J3,0,0,0.0,0.0,41.0,41.0,0
1.5,J1,0,0,0.0,0.0,40.5,40.5,0
1.5,J2,0,0,0.0,0.0,40.5,40.5,0
1.5,J3,0,0,0.0,0.0,40.5,40.5,0
2.0,J1,0,0,0.0,0.0,40.0,40.0,0
2.0,J2,0,0,0.0,0.0,40.0,40.0,0
2.0,J3,0,0,0.0,0.0,40.0,40.0,0
2.5,J1,0,0,0.0,0.0,39.5,39.5,0
2.5,J2,0,0,0.0,0.0,39.5,39.5,0
2.5,J3,0,0,0.0,0.0,39.5,39.5,0
3.0,J1,0,0,1.0,0.0,39.0,39.0,0
3.0,J2,0,0,0.0,0.0,39.0,39.0,0
3.0,J3,0,0,0.0,0.0,39.0,39.0,0
3.5,J1,0,0,0.0,0.0,38.5,38.5,0
3.5,J2,0,0,0.0,0.0,38.5,38.5,0
3.5,J3,0,0,0.0,0.0,38.5,38.5,0
4.0,J1,0,0,0.0,0.0,38.0,38.0,0
4.0,J2,0,0,0.0,0.0,38.0,38.0,0
4.0,J3,0,0,0.0,0.0,38.0,38.0,0
4.5,J1,0,0,0.0,0.0,37.5,37.5,0
4.5,J2,0,0,0.0,0.0,37.5,37.5,0
4.5,J3,0,0,0.0,0.0,37.5,37.5,0
5.0,J1,0,0,0.0,0.0,37.0,37.0,0
5.0,J2,0,0,0.0,1.0,37.0,37.0,0
5.0,J3,0,0,0.0,0.0,37.0,37.0,0
5.5,J1,0,0,0.0,0.0,36.5,36.5,0
5.5,J2,0,0,0.0,0.0,36.5,36.5,0
5.5,J3,0,0,0.0,0.0,36.5,36.5,0
6.0,J1,0,0,1.0,0.0,36.0,36.0,0
6.0,J2,0,0,0.0,0.0,36.0,36.0,0
6.0,J3,0,0,0.0,0.0,36.0,36.0,0
6.5,J1,0,0,0.0,0.0,35.5,35.5,0
6.5,J2,0,0,0.0,0.0,35.5,35.5,0
6.5,J3,0,0,0.0,0.0,35.5,35.5,0
7.0,J1,0,0,0.0,0.0,35.0,35.0,0
7.0,J2,0,0,0.0,0.0,35.0,35.0,0
7.0,J3,0,0,0.0,0.0,35.0,35.0,0
7.5,J1,0,0,0.0,0.0,34.5,34.5,0
7.5,J2,0,0,0.0,0.0,34.5,34.5,0
7.5,J3,0,0,0.0,0.0,34.5,34.5,0
8.0,J1,0,0,0.0,0.0,34.0,34.0,0
8.0,J2,0,0,0.0,0.0,34.0,34.0,0
8.0,J3,0,0,0.0,0.0,34.0,34.0,0
8.5,J1,0,0,0.0,0.0,33.5,33.5,0
8.5,J2,0,0,0.0,0.0,33.5,33.5,0
8.5,J3,0,0,0.0,0.0,33.5,33.5,0
9.0,J1,0,0,1.0,0.0,33.0,33.0,0
9.0,J2,0,0,0.0,0.0,33.0,33.0,0
9.0,J3,0,0,0.0,0.0,33.0,33.0,0
9.5,J1,0,0,0.0,0.0,32.5,32.5,0
9.5,J2,0,0,0.0,0.0,32.5,32.5,0
9.5,J3,0,0,0.0,1.0,32.5,32.5,0
10.0,J1,0,0,0.0,0.0,32.0,32.0,0
10.0,J2,0,0,0.0,0.0,32.0,32.0,0
10.0,J3,0,0,0.0,0.0,32.0,32.0,0
10.5,J1,0,0,0.0,0.0,31.5,31.5,0
10.5,J2,0,0,0.0,0.0,31.5,31.5,0
10.5,J3,0,0,0.0,0.0,31.5,31.5,0
11.0,J1,0,0,0.0,0.0,31.0,31.0,0
11.0,J2,0,0,0.0,0.0,31.0,31.0,0
11.0,J3,0,0,0.0,0.0,31.0,31.0,0
11.5,J1,0,0,1.0,0.0,30.5,30.5,0
11.5,J2,0,0,0.0,0.0,30.5,30.5,0
11.5,J3,0,0,0.0,0.0,30.5,30.5,0
12.0,J1,0,0,0.0,0.0,30.0,30.0,0
12.0,J2,0,0,0.0,0.0,30.0,30.0,0
12.0,J3,0,0,0.0,0.0,30.0,30.0,0
12.5,J1,0,0,0.0,0.0,29.5,29.5,0
12.5,J2,0,0,0.0,0.0,29.5,29.5,0
12.5,J3,0,0,0.0,0.0,29.5,29.5,0
13.0,J1,0,0,0.0,0.0,29.0,29.0,0
13.0,J2,0,0,0.0,0.0,29.0,29.0,0
13.0,J3,0,0,0.0,0.0,29.0,29.0,0
13.5,J1,0,0,0.0,0.0,28.5,28.5,0
13.5,J2,0,0,0.0,0.0,28.5,28.5,0
13.5,J3,0,0,0.0,0.0,28.5,28.5,0
14.0,J1,0,0,0.0,1.0,28.0,28.0,0
14.0,J2,0,0,0.0,0.0,28.0,28.0,0
14.0,J3,0,0,0.0,0.0,28.0,28.0,0
14.5,J1,0,0,1.0,0.0,27.5,27.5,0
14.5,J2,0,0,0.0,0.0,27.5,27.5,0
14.5,J3,0,0,0.0,0.0,27.5,27.5,0
15.0,J1,0,0,0.0,1.0,27.0,27.0,0
15.0,J2,0,0,0.0,0.0,27.0,27.0,0
15.0,J3,0,0,0.0,0.0,27.0,27.0,0
15.5,J1,0,0,0.0,1.0,26.5,26.5,0
15.5,J2,0,0,0.0,0.0,26.5,26.5,0
15.5,J3,0,0,0.0,0.0,26.5,26.5,0
16.0,J1,0,0,0.0,1.0,26.0,26.0,0
16.0,J2,0,0,0.0,0.0,26.0,26.0,0
16.0,J3,0,0,0.0,0.0,26.0,26.0,0
16.5,J1,0,0,0.0,1.0,25.5,25.5,0
16.5,J2,0,0,0.0,0.0,25.5,25.5,0
16.5,J3,0,0,0.0,0.0,25.5,25.5,0
17.0,J1,0,0,0.0,1.0,25.0,25.0,0
17.0,J2,0,0,0.0,0.0,25.0,25.0,0
17.0,J3,0,0,0.0,0.0,25.0,25.0,0
17.5,J1,0,0,1.0,1.0,24.5,24.5,0
17.5,J2,0,0,0.0,0.0,24.5,24.5,0
17.5,J3,0,0,0.0,0.0,24.5,24.5,0
18.0,J1,0,0,0.0,1.0,24.0,24.0,0
18.0,J2,0,0,0.0,0.0,24.0,24.0,0
18.0,J3,0,0,0.0,0.0,24.0,24.0,0
18.5,J1,0,0,0.0,1.0,23.5,23.5,0
18.5,J2,0,0,0.0,1.0,23.5,23.5,0
18.5,J3,0,0,0.0,0.0,23.5,23.5,0
19.0,J1,0,0,0.0,1.0,23.0,23.0,0
19.0,J2,0,0,0.0,0.0,23.0,23.0,0
19.0,J3,0,0,0.0,0.0,23.0,23.0,0
19.5,J1,0,0,0.0,1.0,22.5,22.5,0
19.5,J2,0,0,0.0,0.0,22.5,22.5,0
19.5,J3,0,0,0.0,0.0,22.5,22.5,0
20.0,J1,0,0,1.0,1.0,22.0,22.0,0
20.0,J2,0,0,0.0,0.0,22.0,22.0,0
20.0,J3,0,0,0.0,0.0,22.0,22.0,0
20.5,J1,0,0,0.0,1.0,21.5,21.5,0
20.5,J2,0,0,0.0,0.0,21.5,21.5,0
20.5,J3,0,0,0.0,0.0,21.5,21.5,0
21.0,J1,0,0,0.0,1.0,21.0,21.0,0
21.0,J2,0,0,0.0,1.0,21.0,21.0,0
21.0,J3,0,0,0.0,0.0,21.0,21.0,0
21.5,J1,0,0,0.0,1.0,20.5,20.5,0
21.5,J2,0,0,0.0,1.0,20.5,20.5,0
21.5,J3,0,0,0.0,0.0,20.5,20.5,0
22.0,J1,0,0,0.0,1.0,20.0,20.0,0
22.0,J2,0,0,0.0,1.0,20.0,20.0,0
22.0,J3,0,0,0.0,0.0,20.0,20.0,0
22.5,J1,0,0,0.0,1.0,19.5,19.5,0
22.5,J2,0,0,0.0,1.0,19.5,19.5,0
22.5,J3,0,0,0.0,0.0,19.5,19.5,0
23.0,J1,0,0,1.0,1.0,19.0,19.0,0
23.0,J2,0,0,0.0,1.0,19.0,19.0,0
23.0,J3,0,0,0.0,1.0,19.0,19.0,0
23.5,J1,0,0,0.0,1.0,18.5,18.5,0
23.5,J2,0,0,0.0,1.0,18.5,18.5,0
23.5,J3,0,0,0.0,0.0,18.5,18.5,0
24.0,J1,0,0,0.0,1.0,18.0,18.0,0
24.0,J2,0,0,0.0,1.0,18.0,18.0,0
24.0,J3,0,0,0.0,0.0,18.0,18.0,0
24.5,J1,0,0,0.0,1.0,17.5,17.5,0
24.5,J2,0,0,0.0,1.0,17.5,17.5,0
