time,tls,cur,best,best_score,cur_score,gap_best-second,gap_best-cur,rem,served,action
0.5,J1,0,0,0.00,0.00,0.00,0.00,41.5,0.5,none
0.5,J2,0,0,0.00,0.00,0.00,0.00,41.5,0.5,none
0.5,J3,0,0,0.00,0.00,0.00,0.00,41.5,0.5,none
749.5,J1,0,0,0.00,0.00,0.00,0.00,12.5,749.5,extend+3.0
749.5,J2,0,0,0.00,0.00,0.00,0.00,12.5,749.5,extend+3.0
749.5,J3,0,0,0.00,0.00,0.00,0.00,12.5,749.5,extend+3.0
1586.0,J1,2,0,0.00,0.00,0.00,0.00,34.0,0.0,none
1586.0,J2,2,0,0.00,0.00,0.00,0.00,34.0,0.0,none
1586.0,J3,2,0,0.00,0.00,0.00,0.00,34.0,0.0,none
2337.0,J1,2,0,0.00,0.00,0.00,0.00,3.0,751.0,none
2337.0,J2,2,0,0.00,0.00,0.00,0.00,3.0,751.0,none
2337.0,J3,2,0,0.00,0.00,0.00,0.00,3.0,751.0,none
2985.5,J1,0,0,0.00,0.00,0.00,0.00,29.5,0.0,none
2985.5,J2,0,0,0.00,0.00,0.00,0.00,29.5,0.0,none
2985.5,J3,0,0,0.00,0.00,0.00,0.00,29.5,0.0,none
3730.0,J1,0,0,0.00,0.00,0.00,0.00,5.0,744.5,extend+3.0
3730.0,J2,0,0,0.00,0.00,0.00,0.00,5.0,744.5,extend+3.0
3730.0,J3,0,0,0.00,0.00,0.00,0.00,5.0,744.5,extend+3.0
4597.5,J1,0,0,0.00,0.00,0.00,0.00,40.5,1612.0,none
4597.5,J2,0,0,0.00,0.00,0.00,0.00,40.5,1612.0,none
4597.5,J3,0,0,0.00,0.00,0.00,0.00,40.5,1612.0,none
5538.5,J1,1,0,0.00,0.00,0.00,0.00,2.5,0.0,none
5538.5,J2,1,0,0.00,0.00,0.00,0.00,2.5,0.0,none
5538.5,J3,1,0,0.00,0.00,0.00,0.00,2.5,0.0,none
